Powiaty,Ogółem,Mężczyźni,Kobiety
złotowski,69433,34409,35024
żniński,70190,34744,35446
żuromiński,38515,19013,19502
zwoleński,36166,17986,18180
żyrardowski,75749,36231,39518
żywiecki,152756,74657,78099
Biała Podlaska,57170,27376,29794
Białystok,297554,139623,157931
Bielsko-Biała,170663,80668,89995
Bydgoszcz,348190,163704,184486
Bytom,165263,78843,86420
Chełm,61932,29050,32882
Chorzów,107807,51255,56552
Częstochowa,220433,103451,116982
Dąbrowa Górnicza,119373,57123,62250
Elbląg,119317,57011,62306
Gdańsk,470907,223066,247841
Gdynia,246348,116271,130077
Gliwice,178603,85756,92847
Gorzów Wielkopolski,123609,58699,64910
Grudziądz,94368,44922,49446
Jastrzębie Zdrój,88743,43253,45490
Jaworzno,91115,44174,46941
Jelenia Góra,79061,36714,42347
Kalisz,100246,46650,53596
Katowice,292774,139274,153500
Kielce,194852,91271,103581
Konin,73522,34738,38784
Koszalin,107048,50377,56671
Kraków,779115,363487,415628
Krosno,46291,21855,24436
Legnica,99350,47071,52279
Leszno,63505,30404,33101
Łódź,679941,309954,369987
Łomża,62945,29969,32976
Lublin,339784,156709,183075
M. st. Warszawa,1790658,824339,966319
Mysłowice,74618,36006,38612
Nowy Sącz,83794,40148,43646
Olsztyn,171979,80003,91976
Opole,128035,60262,67773
Ostrołęka,52055,24849,27206
Piekary Śląskie,55030,26405,28625
Piotrków Trybunalski,73090,34203,38887
Płock,119425,56268,63157
Poznań,534813,249630,285183
Przemyśl,60689,28436,32253
Radom,211371,100219,111152
Ruda Śląska,137360,66316,71044
Rybnik,138098,67341,70757
Rzeszów,196208,93189,103019
Siedlce,78185,36971,41214
Siemianowice Śląskie,66841,31856,34985
Skierniewice,48089,22983,25106
Słupsk,90681,42714,47967
Sopot,35719,16595,19124
Sosnowiec,199974,94614,105360
Suwałki,69758,33348,36410
Świętochłowice,49557,23768,25789
Świnoujście,40888,19683,21205
Szczecin,401907,190825,211082
Tarnobrzeg,46745,22367,24378
Tarnów,108470,51256,57214
Toruń,201447,93643,107804
Tychy,127590,61406,66184
Wałbrzych,111356,52459,58897
Włocławek,109883,51612,58271
Wrocław,642869,300293,342576
Zabrze,172360,83151,89209
Zamość,63437,29807,33630
Zielona Góra,141222,66943,74279
Żory,62472,30515,31957
